Title,channel,publish_date,url
How To Prevent The AI Apocalypse,Siliconversations,2025-03-06T19:10:08Z,https://www.youtube.com/watch?v=zeabrXV8zNE
"""AI Safety"" is a scam.",Internet of Bugs,2024-08-09T12:45:04Z,https://www.youtube.com/watch?v=YsLf4lAG0xQ
Fundamentals of AI safety and security | BRK231,Microsoft Developer,2024-05-24T06:34:04Z,https://www.youtube.com/watch?v=g2QDM75VsrE
The Importance of AI Governance,IBM Technology,2024-05-21T11:00:31Z,https://www.youtube.com/watch?v=Q020C-Jw0o8
What is Responsible AI? A Guide to AI Governance,IBM Technology,2025-01-08T12:01:21Z,https://www.youtube.com/watch?v=yh-3WU1FKrk
What is AI governance?,IBM Research,2023-11-16T13:00:29Z,https://www.youtube.com/watch?v=f6dx3Yh-Tww
Why is AI Governance Important?,IBM Technology,2025-02-22T13:01:15Z,https://www.youtube.com/watch?v=sA6UA2fMNHg
What is AIGP or Artificial Intelligence Governance by the IAPP?,MENA Executive Training,2023-10-03T13:50:27Z,https://www.youtube.com/watch?v=JfGvY-8uKDc
AI Governance Concepts You NEED To Know 👀,trAin,2024-03-30T17:26:04Z,https://www.youtube.com/watch?v=lrKgdSo4UgY
"OpenAI CEO Sam Altman on AI governance, ethics, and innovation | A conversation with BiGS",Harvard Business School,2024-11-20T14:00:11Z,https://www.youtube.com/watch?v=BZbjqiRvJPA
The Promise of AI Governance with Vilas Dhar,Center for Strategic & International Studies,2024-11-20T21:06:22Z,https://www.youtube.com/watch?v=yqvTTScXbrA
"The CxO Show on ""Navigating the Digital Privacy Landscape and AI Governance",CxO Global TV,2025-04-05T21:56:32Z,https://www.youtube.com/watch?v=IGs-IbNzYXA
What's Next in AI Governance,Center for Security and Emerging Technology,2024-12-12T18:32:29Z,https://www.youtube.com/watch?v=AbTXdXGyUPk
Linear Regression in 2 minutes,Visually Explained,2021-11-28T07:49:01Z,https://www.youtube.com/watch?v=CtsRRUddV2s
"Linear Regression, Clearly Explained!!!",StatQuest with Josh Starmer,2022-11-18T19:08:44Z,https://www.youtube.com/watch?v=7ArmBVF2dCs
An Introduction to Linear Regression Analysis,statisticsfun,2012-02-05T17:53:08Z,https://www.youtube.com/watch?v=zPG4NjIkCjc
Linear Regression in 3 Minutes,3-Minute Data Science,2022-09-08T18:30:28Z,https://www.youtube.com/watch?v=3dhcmeOTZ_Q
Video 1: Introduction to Simple Linear Regression,dataminingincae,2015-08-30T19:11:54Z,https://www.youtube.com/watch?v=owI7zxCqNY0
Simple Linear Regression: An Easy and Clear Beginner’s Guide,DATAtab,2024-12-08T13:14:54Z,https://www.youtube.com/watch?v=gPfgB4ew3RY
Why Linear regression for Machine Learning?,IBM Technology,2024-02-14T12:00:47Z,https://www.youtube.com/watch?v=qxo8p8PtFeA
The linear regression model,365 Data Science,2017-08-11T16:10:18Z,https://www.youtube.com/watch?v=m88h75F3Rl8
Regression. Analysis and regression  equation of X   on. Y,statistics by rekha yadav,2025-04-04T03:27:01Z,https://www.youtube.com/watch?v=hbQI29ZQ8qI
Linear Regression Using Least Squares Method - Line of Best Fit Equation,The Organic Chemistry Tutor,2020-07-14T00:00:04Z,https://www.youtube.com/watch?v=P8hT5nDai6A
StatQuest: Logistic Regression,StatQuest with Josh Starmer,2018-03-05T15:17:39Z,https://www.youtube.com/watch?v=yIYKR4sgzI8
Logistic Regression [Simply explained],DATAtab,2023-01-08T15:12:20Z,https://www.youtube.com/watch?v=C5268D9t9Ak
Logistic Regression in 3 Minutes,3-Minute Data Science,2022-09-18T19:49:47Z,https://www.youtube.com/watch?v=EKm0spFxFG4
Logistic Regression: An Easy and Clear Beginner’s Guide,DATAtab,2025-01-14T07:42:05Z,https://www.youtube.com/watch?v=Ax5kqLHls-I
Machine Learning Crash Course: Logistic Regression,Google for Developers,2024-08-21T16:46:55Z,https://www.youtube.com/watch?v=72AHKztZN44
Locally Weighted & Logistic Regression | Stanford CS229: Machine Learning - Lecture 3 (Autumn 2018),Stanford Online,2020-04-17T20:08:31Z,https://www.youtube.com/watch?v=het9HFqo1TQ
Linear Regression vs Logistic Regression - What's The Difference?,The Comparison Channel,2022-12-04T13:28:26Z,https://www.youtube.com/watch?v=06en5XqdPkI
Logistic Regression Details Pt1: Coefficients,StatQuest with Josh Starmer,2018-06-04T14:13:50Z,https://www.youtube.com/watch?v=vN5cNN2-HWE
JMP Academic - Teaching Predictive Modeling,JMP Statistical Discovery,2025-04-04T14:49:04Z,https://www.youtube.com/watch?v=CkPMdI07aWM
Logistic Regression - THE MATH YOU SHOULD KNOW!,CodeEmporium,2018-01-18T21:00:19Z,https://www.youtube.com/watch?v=YMJtsYIp4kg
"Decision and Classification Trees, Clearly Explained!!!",StatQuest with Josh Starmer,2021-04-26T04:00:08Z,https://www.youtube.com/watch?v=_L39rN6gz7Y
Decision Tree: Important things to know,Intuitive Machine Learning,2020-07-08T04:48:11Z,https://www.youtube.com/watch?v=JcI5E2Ng6r4
Decision Analysis 3: Decision Trees,Joshua Emmanuel,2015-06-24T10:32:10Z,https://www.youtube.com/watch?v=ydvnVw80I_8
Decision Tree Classification Clearly Explained!,Normalized Nerd,2021-01-13T13:14:16Z,https://www.youtube.com/watch?v=ZVR2Way4nwQ
Introduction to Decision Trees,UTM MCS Math Videos,2015-09-10T21:00:09Z,https://www.youtube.com/watch?v=jzoDKtnTPpg
Visual Guide to Decision Trees,Econoscent,2020-07-17T02:53:46Z,https://www.youtube.com/watch?v=zs6yHVtxyv8
Lecture 10 - Decision Trees and Ensemble Methods | Stanford CS229: Machine Learning (Autumn 2018),Stanford Online,2020-04-17T20:10:41Z,https://www.youtube.com/watch?v=wr9gUr-eWdA
Let’s Write a Decision Tree Classifier from Scratch - Machine Learning Recipes #8,Google for Developers,2017-09-13T17:21:52Z,https://www.youtube.com/watch?v=LDRbO9a6XPU
The Decision Tree - Dr. Anita Phillips,The Potter’s House of Dallas,2023-10-01T22:00:07Z,https://www.youtube.com/watch?v=d7zIhZlenXU
What is Random Forest?,IBM Technology,2022-02-07T14:45:51Z,https://www.youtube.com/watch?v=gkXX4h3qYm4
Random Forest Algorithm Clearly Explained!,Normalized Nerd,2021-04-21T14:00:32Z,https://www.youtube.com/watch?v=v6VJ2RO66Ag
Visual Guide to Random Forests,Econoscent,2020-08-30T21:19:36Z,https://www.youtube.com/watch?v=cIbj0WuK41w
Tutorial 43-Random Forest Classifier and Regressor,Krish Naik,2019-08-24T06:03:56Z,https://www.youtube.com/watch?v=nxFG5xdpDto
"StatQuest: Random Forests Part 1 - Building, Using and Evaluating",StatQuest with Josh Starmer,2018-02-05T15:55:40Z,https://www.youtube.com/watch?v=J4Wdy0Wc_xQ
Random Forest Algorithm Explained with Python and scikit-learn,Ryan & Matt Data Science,2023-08-31T13:55:36Z,https://www.youtube.com/watch?v=_QuGM_FW9eo
Random Forest in 7 minutes,Augmented AI,2017-07-12T13:28:50Z,https://www.youtube.com/watch?v=D_2LkhMJcfY
Machine Learning Tutorial Python - 11  Random Forest,codebasics,2018-12-23T18:00:26Z,https://www.youtube.com/watch?v=ok2s1vV9XW0
Random forest classification - simply explained,TileStats,2022-01-27T17:01:17Z,https://www.youtube.com/watch?v=GOJg3EE-nDM
Support Vector Machine (SVM) in 2 minutes,Visually Explained,2021-09-09T12:30:07Z,https://www.youtube.com/watch?v=_YPScrckx28
Support Vector Machines Part 1 (of 3): Main Ideas!!!,StatQuest with Josh Starmer,2019-09-30T18:45:50Z,https://www.youtube.com/watch?v=efR1C6CvhmE
Support Vector Machines: All you need to know!,Intuitive Machine Learning,2020-06-23T05:44:10Z,https://www.youtube.com/watch?v=ny1iZ5A8ilA
16. Learning: Support Vector Machines,MIT OpenCourseWare,2014-01-10T19:37:31Z,https://www.youtube.com/watch?v=_PwhiWxHK8o
Support Vector Machine (SVM) in 7 minutes - Fun Machine Learning,Augmented AI,2017-08-15T19:30:29Z,https://www.youtube.com/watch?v=Y6RRHw9uN9o
Support Vector Machines : Data Science Concepts,ritvikmath,2020-11-23T16:30:02Z,https://www.youtube.com/watch?v=iEQ0e-WLgkQ
The Kernel Trick in Support Vector Machine (SVM),Visually Explained,2022-05-09T11:30:04Z,https://www.youtube.com/watch?v=Q7vT0--5VII
Lecture 6 - Support Vector Machines | Stanford CS229: Machine Learning Andrew Ng (Autumn 2018),Stanford Online,2020-04-17T20:09:31Z,https://www.youtube.com/watch?v=lDwow4aOrtg
Machine Learning NPTEL Exam Preparation 2025 | How to Prepare for Introduction to Machine Learning,StudyWithPradipta,2025-04-05T02:00:33Z,https://www.youtube.com/watch?v=Y7Kc6fhZj8k
Support Vector Machines - THE MATH YOU  SHOULD KNOW,CodeEmporium,2018-10-16T00:30:00Z,https://www.youtube.com/watch?v=05VABNfa1ds
"Naive Bayes, Clearly Explained!!!",StatQuest with Josh Starmer,2020-06-03T12:35:57Z,https://www.youtube.com/watch?v=O2L2Uv9pdDA
Naïve Bayes Classifier -  Fun and Easy Machine Learning,Augmented AI,2017-08-26T22:45:27Z,https://www.youtube.com/watch?v=CPqOCI0ahss
Naive bayes classifier explained for beginners,AI Explored,2023-04-30T16:00:29Z,https://www.youtube.com/watch?v=ny1egBSrsTc
Naive Bayes Classifier | Naive Bayes Algorithm | Naive Bayes Classifier With Example | Simplilearn,Simplilearn,2018-04-10T13:36:27Z,https://www.youtube.com/watch?v=l3dZ6ZNFjo0
Tutorial 48- Naive Bayes' Classifier Indepth Intuition-  Machine Learning,Krish Naik,2020-04-20T18:01:29Z,https://www.youtube.com/watch?v=jS1CKhALUBQ
The Math Behind Bayesian Classifiers Clearly Explained!,Normalized Nerd,2020-07-22T14:00:21Z,https://www.youtube.com/watch?v=lFJbZ6LVxN8
1. Solved Example Naive Bayes Classifier to classify New Instance PlayTennis Example Mahesh Huddar,Mahesh Huddar,2020-12-06T16:38:47Z,https://www.youtube.com/watch?v=XzSlEA4ck2I
Lecture 5 - GDA & Naive Bayes | Stanford CS229: Machine Learning Andrew Ng (Autumn 2018),Stanford Online,2020-04-17T20:09:06Z,https://www.youtube.com/watch?v=nt63k3bfXS0
What is Unsupervised Machine Learning | 200 Days Of Machine Learning | Hindi / Urdu,Big Brains,2025-04-05T14:30:18Z,https://www.youtube.com/watch?v=_7Fx533ZC-o
Naive Bayes classifier: A friendly approach,Serrano.Academy,2019-02-11T05:30:09Z,https://www.youtube.com/watch?v=Q8l0Vip5YUw
"StatQuest: K-nearest neighbors, Clearly Explained",StatQuest with Josh Starmer,2017-06-26T18:54:55Z,https://www.youtube.com/watch?v=HVXime0nQeI
K Nearest Neighbors | Intuitive explained | Machine Learning Basics,Intuitive Machine Learning,2020-04-26T19:07:31Z,https://www.youtube.com/watch?v=0p0o5cmgLdE
What is the K-Nearest Neighbor (KNN) Algorithm?,IBM Technology,2024-09-02T11:00:28Z,https://www.youtube.com/watch?v=b6uHw7QW_n4
Simple Explanation of the K-Nearest Neighbors (KNN) Algorithm,Science Buddies,2023-10-23T12:00:51Z,https://www.youtube.com/watch?v=zeFt_JCA3b4
Simplifying K-Nearest Neighbors,Science Buddies,2023-10-20T18:43:20Z,https://www.youtube.com/watch?v=VYeaFNgQ5lc
Machine Learning Tutorial Python - 18: K nearest neighbors classification with python code,codebasics,2021-10-06T12:30:12Z,https://www.youtube.com/watch?v=CQveSaMyEwM
KNN Algorithm In Machine Learning | KNN Algorithm Using Python | K Nearest Neighbor | Simplilearn,Simplilearn,2018-06-06T13:30:53Z,https://www.youtube.com/watch?v=4HKqjENq9OU
Intuition and Math Behind KNN Classifier in ML Explained,2MinutesPy,2024-12-04T15:30:00Z,https://www.youtube.com/watch?v=-TA7orMJuJ4
K Nearest Neighbor classification with Intuition and practical solution,Krish Naik,2019-02-12T14:55:28Z,https://www.youtube.com/watch?v=otolSnbanQk
KNN Algorithm in Machine Learning | K Nearest Neighbor | KNN Algorithm Example |Tutorialspoint,TutorialsPoint,2024-01-24T11:45:06Z,https://www.youtube.com/watch?v=hlHn7ZH8j8E
Gradient Boost Part 1 (of 4): Regression Main Ideas,StatQuest with Josh Starmer,2019-03-25T16:00:01Z,https://www.youtube.com/watch?v=3CC4N4z3GJc
Visual Guide to Gradient Boosted Trees (xgboost),Econoscent,2020-10-10T17:07:04Z,https://www.youtube.com/watch?v=TyvYZ26alZs
Gradient Boosting : Data Science's Silver Bullet,ritvikmath,2021-09-29T15:00:34Z,https://www.youtube.com/watch?v=en2bmeB4QUo
What is Gradient Boosting in Machine Learning?,Data & Analytics,2023-10-19T08:23:33Z,https://www.youtube.com/watch?v=dBvRp2FET70
Gradient Boosting In Depth Intuition- Part 1 Machine Learning,Krish Naik,2020-05-11T17:07:47Z,https://www.youtube.com/watch?v=Nol1hVtLOSg
Gradient Boosting and XGBoost in Machine Learning: Easy Explanation for Data Science Interviews,Emma Ding,2023-01-16T17:00:41Z,https://www.youtube.com/watch?v=yw-E__nDkKU
Gradient Boosting with Regression Trees Explained,DataMListic,2023-02-24T18:31:30Z,https://www.youtube.com/watch?v=lOwsMpdjxog
Boosting,Udacity,2016-06-06T17:48:35Z,https://www.youtube.com/watch?v=GM3CDQfQ4sw
"Boosting Machine Learning Tutorial | Adaptive Boosting, Gradient Boosting, XGBoost | Edureka",edureka!,2019-06-27T14:19:35Z,https://www.youtube.com/watch?v=kho6oANGu_A
Gradient Boost Machine Learning|How Gradient boost work in Machine Learning,Unfold Data Science,2020-02-18T13:16:07Z,https://www.youtube.com/watch?v=j034-r3O2Cg
XGBoost Part 2 (of 4): Classification,StatQuest with Josh Starmer,2020-01-13T12:30:01Z,https://www.youtube.com/watch?v=8b1JEDvenQU
XGBoost Explained in Under 3 Minutes,DataMListic,2023-10-17T19:17:52Z,https://www.youtube.com/watch?v=33fGfuleXw0
XGBoost Part 1 (of 4): Regression,StatQuest with Josh Starmer,2019-12-16T14:00:04Z,https://www.youtube.com/watch?v=OtD8wVaFm6E
Xgboost Classification Indepth Maths Intuition- Machine Learning Algorithms🔥🔥🔥🔥,Krish Naik,2020-10-12T16:01:17Z,https://www.youtube.com/watch?v=gPciUPwWJQQ
XGBoost explained #datascience #machinelearning #statistics #xgboost #decisiontrees,DataMListic,2023-11-04T15:27:24Z,https://www.youtube.com/watch?v=geZDkTfGT-I
How to train XGBoost models in Python,Lianne and Justin,2023-01-16T16:37:49Z,https://www.youtube.com/watch?v=aLOQD66Sj0g
XGBoost in Python from Start to Finish,StatQuest with Josh Starmer,2020-08-01T18:13:06Z,https://www.youtube.com/watch?v=GrJP9FLV3FE
XGBoost Made Easy | Extreme Gradient Boosting | AWS SageMaker,Prof. Ryan Ahmed,2021-02-28T18:15:08Z,https://www.youtube.com/watch?v=PxgVFp5a0E4
681: XGBoost: The Ultimate Classifier — with Matt Harrison,Super Data Science: ML & AI Podcast with Jon Krohn,2023-05-23T11:00:20Z,https://www.youtube.com/watch?v=Xa4xt9PeEFE
LightGBM algorithm explained | Lightgbm vs xgboost | lightGBM regression| LightGBM model,Unfold Data Science,2022-02-03T14:00:07Z,https://www.youtube.com/watch?v=9uxWzeLglr0
196 - What is Light GBM and how does it compare against XGBoost?,DigitalSreeni,2021-01-28T08:00:27Z,https://www.youtube.com/watch?v=n_ZMQj09S6w
LightGBM in 60 Seconds | Machine Learning Algorithms,devin schumacher,2023-11-01T09:37:18Z,https://www.youtube.com/watch?v=gLegrc3BfAI
LightGBM (Light Gradient Boosting Machine),AI for Non-Experts - Basics to Applications,2024-06-27T08:14:06Z,https://www.youtube.com/watch?v=iUxi1O5MA1g
How to train a LightGBM model using Python for binary classification?,Quick Python Examples,2023-04-17T21:10:40Z,https://www.youtube.com/watch?v=tQPqjUyG1UY
Pedro Tabacof - Unlocking the Power of Gradient-Boosted Trees (using LightGBM) | PyData London 2022,PyData,2022-07-07T05:00:31Z,https://www.youtube.com/watch?v=qGsHlvE8KZM
LightGBM Classifier | Machine Learning | Python API,MEDIOCRE_GUY,2024-08-11T14:00:45Z,https://www.youtube.com/watch?v=7MD29lnD0H8
Email Spam Detection with LightGBM classifier Python Code from Scratch  #python # LightGBM,RareKind Solutions,2024-05-03T18:00:25Z,https://www.youtube.com/watch?v=XyWmCwpyQI0
Machine Learning - using LightGBM to classify multi-class tyroid features,David S Nishimoto,2023-03-10T02:50:10Z,https://www.youtube.com/watch?v=zguH3jpnfcI
CatBoost Part 1: Ordered Target Encoding,StatQuest with Josh Starmer,2023-02-27T05:00:07Z,https://www.youtube.com/watch?v=KXOTSkPL2X4
What is Category Boosting (CatBoost) in Machine Learning?,Data & Analytics,2023-10-22T10:52:08Z,https://www.youtube.com/watch?v=q4DgOjLIF4A
catboost explained | catboost algorithm explained | catboost vs lightgbm vs xgboost,Unfold Data Science,2022-02-10T13:30:25Z,https://www.youtube.com/watch?v=uIKrTjeCcuU
Master CatBoost Classifier: Step-by-Step Python Machine Learning Tutorial for Beginners,Data Science with Onur,2024-12-21T13:00:22Z,https://www.youtube.com/watch?v=IPu9AAFys54
Understanding CatBoost!,The ML Tech Lead!,2024-06-10T06:13:54Z,https://www.youtube.com/watch?v=Eem9ndI9JiU
How to Explain Machine Learning Models with explainX.ai: CatBoost Classifier,explainX AI,2020-10-27T09:09:24Z,https://www.youtube.com/watch?v=CDMpOismME8
CatBoost in 60 Seconds | Machine Learning Algorithms,devin schumacher,2023-10-30T05:41:35Z,https://www.youtube.com/watch?v=Iq6NR-_yyBM
Catboost Tutorial on Google Colaboratory with free GPU,Bhavesh Bhatt,2020-05-21T04:45:00Z,https://www.youtube.com/watch?v=mUGAA02fGuw
Hypertune the parameters of catboost classifier using GridsearchCV and trained on pulsar star data.,Data Science Solutions,2022-08-13T20:32:00Z,https://www.youtube.com/watch?v=1J10BWCmA2w
Anna Veronika Dorogush: Mastering gradient boosting with CatBoost | PyData London 2019,PyData,2019-07-18T15:36:04Z,https://www.youtube.com/watch?v=usdEWSDisS0
Regularization Part 1: Ridge (L2) Regression,StatQuest with Josh Starmer,2018-09-24T16:59:00Z,https://www.youtube.com/watch?v=Q81RR3yKn30
"Ridge vs Lasso Regression, Visualized!!!",StatQuest with Josh Starmer,2020-05-19T04:00:08Z,https://www.youtube.com/watch?v=Xm2C_gTAl8c
Ridge Regression for Beginners!,Prof. Ryan Ahmed,2019-07-05T05:40:30Z,https://www.youtube.com/watch?v=OEU22e20tWw
Ridge Regression,ritvikmath,2015-08-21T02:24:31Z,https://www.youtube.com/watch?v=5asL5Eq2x0A
"Machine Learning Tutorial Python - 17: L1 and L2 Regularization | Lasso, Ridge Regression",codebasics,2020-11-26T13:00:09Z,https://www.youtube.com/watch?v=VqKq78PVO9g
Machine Learning Basics 01: Introduction to LASSO and Ridge Regression for dummies in 3 minutes,Bill Wang,2020-07-10T11:30:06Z,https://www.youtube.com/watch?v=WA_N7_Y2HUo
What is Ridge Regression (L2) in Machine Learning?,Data & Analytics,2023-09-19T12:54:48Z,https://www.youtube.com/watch?v=_xjQWYhfHCE
Ridge Regression Part 1 | Geometric Intuition and Code | Regularized Linear Models,CampusX,2021-06-02T14:30:02Z,https://www.youtube.com/watch?v=aEow1QoTLo0
Machine Learning Basics 02A: Mathematics behind Ridge Regression,Bill Wang,2020-06-25T10:42:40Z,https://www.youtube.com/watch?v=Nmk-juO3iHk
Ridge Regression Theory,Spencer Pao,2020-07-26T20:47:29Z,https://www.youtube.com/watch?v=6WldQjzAxUM
Regularization Part 2: Lasso (L1) Regression,StatQuest with Josh Starmer,2018-10-01T13:20:40Z,https://www.youtube.com/watch?v=NGf0voTMlcs
Lasso Regression for Beginners | By Dr. Ry @Stemplicity,Prof. Ryan Ahmed,2019-07-05T05:55:10Z,https://www.youtube.com/watch?v=eGXw9n7AnV4
Lasso regression - explained,TileStats,2022-07-25T12:48:30Z,https://www.youtube.com/watch?v=bPFjfZWWQO0
Lasso Regression,ritvikmath,2015-08-21T01:40:27Z,https://www.youtube.com/watch?v=jbwSCwoT51M
Tutorial 27- Ridge and Lasso Regression Indepth Intuition- Data Science,Krish Naik,2019-12-10T19:54:33Z,https://www.youtube.com/watch?v=9lRv01HDU0s
Lasso Regression,Udacity,2015-02-23T19:16:50Z,https://www.youtube.com/watch?v=qU1_cj4LfLY
Lasso Regression with Scikit-Learn (Beginner Friendly),Ryan & Matt Data Science,2023-10-10T13:52:50Z,https://www.youtube.com/watch?v=LmpBt0tenJE
LASSO Regression,David Caughlin,2020-05-03T23:46:31Z,https://www.youtube.com/watch?v=hZHcmLW5JO8
Regularization Part 3: Elastic Net Regression,StatQuest with Josh Starmer,2018-10-08T13:06:13Z,https://www.youtube.com/watch?v=1dKRdX9bfIo
What is Elastic Net Regression in Machine Learning?,Data & Analytics,2023-09-20T07:27:19Z,https://www.youtube.com/watch?v=urrSh3iJQ08
"Ridge, Lasso and Elastic-Net Regression in R",StatQuest with Josh Starmer,2018-10-23T13:30:00Z,https://www.youtube.com/watch?v=ctmNq7FgbvI
Part 16-Elastic Net Regression and comparing it with Ridge and LASSO regression models,Pedram Jahangiry,2021-10-13T20:12:25Z,https://www.youtube.com/watch?v=iJE2fZcNPlA
Elastic Net Regression in scikit-learn: Balancing L1 and L2 Optimizations,Ryan & Matt Data Science,2023-10-19T15:59:46Z,https://www.youtube.com/watch?v=xl6KAAVytEk
Elastic Net Regression Theory,Spencer Pao,2020-08-02T20:46:39Z,https://www.youtube.com/watch?v=lOnxA6JgNmc
Elasticnet Regression Machine Learning Algorithm Explained In Depth,Krish Naik,2022-05-21T14:33:59Z,https://www.youtube.com/watch?v=2IAfQdAPdLY
ElasticNet Regression | Intuition and Code Example | Regularized Linear Models,CampusX,2021-06-12T14:30:01Z,https://www.youtube.com/watch?v=2g2DBkFhTTY
Elastic Net Regularization For Regression,MachineLearningInterview,2020-10-07T17:28:24Z,https://www.youtube.com/watch?v=5XxpaBLAl5M
Elastic Net Regularization : Data Science Concepts,ritvikmath,2025-01-27T15:01:08Z,https://www.youtube.com/watch?v=t6E0Dt5rg9U
Multiclass Classification One vs All (One vs Rest) One vs One Machine Learning by Dr. Mahesh Huddar,Mahesh Huddar,2022-04-17T15:30:00Z,https://www.youtube.com/watch?v=3lwicUTEgHs
Multiclass Classification,AiCore,2022-09-16T01:51:43Z,https://www.youtube.com/watch?v=7GGRSxMp3RU
3.3.1 Multiclass Classification One vs all by Andrew Ng,Computer Science Engineering,2017-04-01T06:39:53Z,https://www.youtube.com/watch?v=ZvaELFv5IpM
Multiclass Classification : Data Science Concepts,ritvikmath,2021-03-29T15:00:05Z,https://www.youtube.com/watch?v=Jeh531fPhj8
What is classification in Machine Learning | Binary and Multi-class classification,Techdose,2019-04-01T17:31:31Z,https://www.youtube.com/watch?v=DAFljjxmyZw
Machine Learning Tutorial Python - 8  Logistic Regression (Multiclass Classification),codebasics,2018-09-21T23:41:34Z,https://www.youtube.com/watch?v=J5bXOOmkopc
Performance Metrics On MultiClass Classification Problems,Krish Naik,2020-03-23T03:31:52Z,https://www.youtube.com/watch?v=tYZ6cpatw-w
Confusion Matrix for Multiclass Classification Precision Recall  Weighted F1 Score  by Mahesh Huddar,Mahesh Huddar,2023-07-07T17:25:39Z,https://www.youtube.com/watch?v=gkNccYwtAbU
Part -3 - Mastering CLASS IMBALANCE in Customer Churn Prediction!,SAI Data Science,2025-04-04T17:41:58Z,https://www.youtube.com/watch?v=7TS4Bl3p9ZI
Multiclass Classification vs Multilabel Classification vs Multitask Learning,Pedro Pereira,2021-07-20T01:45:27Z,https://www.youtube.com/watch?v=81pL_IVOGZk
Introduction to Ordinal Regression,DrGreggHarbaugh,2019-04-28T13:02:17Z,https://www.youtube.com/watch?v=jWIJ7P1G9P4
Conducting an Ordinal Regression in SPSS with Assumption Testing,Dr. Todd Grande,2015-08-22T01:52:53Z,https://www.youtube.com/watch?v=ioNr9o8v5o0
What is Ordinal Regression In Machine Learning?,Data & Analytics,2023-09-14T12:59:24Z,https://www.youtube.com/watch?v=zD4oiUta1hU
R tutorial: Ordinal regression,Statistics Guides with Prof Paul Christiansen,2022-01-26T12:01:48Z,https://www.youtube.com/watch?v=rrRrI9gElYA
Ordinal regression Part 1: Introduction,National Centre for Research Methods (NCRM),2021-06-17T14:36:43Z,https://www.youtube.com/watch?v=rPcMcW25PPA
How to Run Ordinal Logistic Regression in SPSS?,Research With Fawad,2022-11-08T06:14:47Z,https://www.youtube.com/watch?v=ZchGek2JRVQ
What Is Ordinal Regression Analysis? - The Friendly Statistician,The Friendly Statistician,2025-01-19T09:12:13Z,https://www.youtube.com/watch?v=kXiKVVWwTJM
Ordinal Regression with Sklearn Classifier,Mosleh Mahamud,2022-05-08T10:46:48Z,https://www.youtube.com/watch?v=bU4ve6iK7Lc
How To Do Ordinal Regression In SPSS? - The Friendly Statistician,The Friendly Statistician,2025-02-09T10:41:43Z,https://www.youtube.com/watch?v=WQBVGmy4IDs
Ordinal Logistic Regression of Likert scale with interpretation,Mohamed Benhima,2023-06-12T10:01:08Z,https://www.youtube.com/watch?v=VXWwIAchLNg
"Ensemble (Boosting, Bagging, and Stacking) in Machine Learning: Easy Explanation for Data Scientists",Emma Ding,2022-12-26T17:50:00Z,https://www.youtube.com/watch?v=sN5ZcJLDMaE
Bagging vs Boosting - Ensemble Learning In Machine Learning Explained,DataMListic,2023-01-14T13:36:14Z,https://www.youtube.com/watch?v=tjy0yL1rRRU
"Ensemble Learning - Bagging, Boosting, and Stacking explained in 4 minutes!",Melissa Van Bussel (ggnot2),2021-03-29T01:29:28Z,https://www.youtube.com/watch?v=eLt4a8-316E
Ensemble learners,Udacity,2016-06-06T17:51:01Z,https://www.youtube.com/watch?v=Un9zObFjBH0
Tutorial 42 - Ensemble: What is Bagging (Bootstrap Aggregation)?,Krish Naik,2019-08-23T04:57:52Z,https://www.youtube.com/watch?v=KIOeZ5cFZ50
Ensemble Learning Techniques Voting Bagging Boosting Random Forest Stacking in ML by  Mahesh Huddar,Mahesh Huddar,2023-05-16T14:31:23Z,https://www.youtube.com/watch?v=eNyUfpGBLts
Ensemble Learning | Ensemble Learning In Machine Learning | Machine Learning Tutorial | Simplilearn,Simplilearn,2020-05-25T05:00:07Z,https://www.youtube.com/watch?v=WtWxOhhZWX0
【G検定 聞き流し】 ③機械学習の概要  ~2025年試験対応~ #ワイズデータ,ワイズデータ [社会人の教養チャンネル],2025-04-04T12:47:00Z,https://www.youtube.com/watch?v=d4brSTv_11k
Machine Learning | Ensemble Methods,RANJI RAJ,2019-08-07T12:51:27Z,https://www.youtube.com/watch?v=SZbEZcdyOWU
Stacking Ensemble Learning|Stacking and Blending in ensemble machine learning,Unfold Data Science,2020-08-25T12:04:34Z,https://www.youtube.com/watch?v=xtTyEoJ31Vg
Stacking Explained for Beginners - Ensemble Learning,AI Sciences,2020-11-06T12:00:21Z,https://www.youtube.com/watch?v=lcXKFS65BI0
Ensemble Machine Learning Techniques: Overview of Stacking Technique|packtpub.com,Packt ,2018-10-05T06:40:56Z,https://www.youtube.com/watch?v=DCrcoh7cMHU
Using a Stacking Model Ensemble Approach to Predict Rare Events | SciPy 2019 | Susan Yuhou Xia,Enthought,2019-07-13T13:01:58Z,https://www.youtube.com/watch?v=6oD5K0x1k7c
"59 Stacking, Blending - Advanced Ensemble Learning Algorithms",Dr. Kuppusamy P,2022-10-22T09:54:52Z,https://www.youtube.com/watch?v=oBPOa0uScsM
Stacking- Ensemble Learning Method | python  scikit-learn Demo,AI WITH Rithesh,2021-05-09T03:28:00Z,https://www.youtube.com/watch?v=r8-Na812VDw
7.7 Stacking (L07: Ensemble Methods),Sebastian Raschka,2020-10-29T05:26:34Z,https://www.youtube.com/watch?v=8T2emza6g80
Stacking Explained: Using multiple models to improve outputs,Moveworks,2023-06-21T16:00:22Z,https://www.youtube.com/watch?v=L9wPiLN-ijA
